run_tag,created_utc,model,game,social_distance,money,rep,raw_response,share,parse_error,latency_s,share_pct
20260115T130317Z,2026-01-15T13:03:17.134749+00:00,deepseek/deepseek-v3.2,dictator,2,10,1,I share 5 dollars.,5.0,,4.619584321975708,0.5
20260115T130317Z,2026-01-15T13:03:21.960485+00:00,deepseek/deepseek-v3.2,dictator,2,10,2,I share 5 dollars.,5.0,,6.606688737869263,0.5
20260115T130317Z,2026-01-15T13:03:28.771550+00:00,deepseek/deepseek-v3.2,dictator,2,10,3,I share 5 dollars.,5.0,,12.573840618133543,0.5
20260115T130317Z,2026-01-15T13:03:46.938595+00:00,deepseek/deepseek-v3.2,dictator,2,3000,1,I share 1500 dollars,1500.0,,2.059352159500122,0.5
20260115T130317Z,2026-01-15T13:03:49.199866+00:00,deepseek/deepseek-v3.2,dictator,2,3000,2,I share 1500 dollars,1500.0,,2.799220323562622,0.5
20260115T130317Z,2026-01-15T13:03:52.203719+00:00,deepseek/deepseek-v3.2,dictator,2,3000,3,I share 1500 dollars.,1500.0,,16.756681442260742,0.5
20260115T130317Z,2026-01-15T13:04:17.195123+00:00,deepseek/deepseek-v3.2,dictator,2,250000,1,I share 125000 dollars,125000.0,,4.171555757522583,0.5
20260115T130317Z,2026-01-15T13:04:21.573322+00:00,deepseek/deepseek-v3.2,dictator,2,250000,2,I share 125000 dollars,125000.0,,1.6794631481170654,0.5
20260115T130317Z,2026-01-15T13:04:23.458628+00:00,deepseek/deepseek-v3.2,dictator,2,250000,3,I share 125000 dollars.,125000.0,,2.441796064376831,0.5
20260115T130317Z,2026-01-15T13:07:24.037929+00:00,deepseek/deepseek-v3.2,dictator,20,10,1,I share 4 dollars.,4.0,,0.8536725044250488,0.4
20260115T130317Z,2026-01-15T13:07:25.095708+00:00,deepseek/deepseek-v3.2,dictator,20,10,2,I share 3 dollars.,3.0,,2.149401426315308,0.3
20260115T130317Z,2026-01-15T13:07:27.447826+00:00,deepseek/deepseek-v3.2,dictator,20,10,3,I share 4 dollars.,4.0,,2.442500591278076,0.4
20260115T130317Z,2026-01-15T13:08:31.145968+00:00,deepseek/deepseek-v3.2,dictator,20,3000,1,I share 1200 dollars.,1200.0,,1.9431395530700684,0.4
20260115T130317Z,2026-01-15T13:08:33.291903+00:00,deepseek/deepseek-v3.2,dictator,20,3000,2,I share 1200 dollars.,1200.0,,1.4939148426055908,0.4
20260115T130317Z,2026-01-15T13:08:34.992546+00:00,deepseek/deepseek-v3.2,dictator,20,3000,3,I share 1200 dollars.,1200.0,,4.855830430984497,0.4
20260115T130317Z,2026-01-15T13:08:50.700577+00:00,deepseek/deepseek-v3.2,dictator,20,250000,1,I share 75000 dollars.,75000.0,,69.9445219039917,0.3
20260115T130317Z,2026-01-15T13:10:00.848344+00:00,deepseek/deepseek-v3.2,dictator,20,250000,2,I share 50000 dollars.,50000.0,,2.3269996643066406,0.2
20260115T130317Z,2026-01-15T13:10:03.377222+00:00,deepseek/deepseek-v3.2,dictator,20,250000,3,I share 75000 dollars.,75000.0,,1.8416390419006348,0.3
20260115T130317Z,2026-01-15T13:10:10.577300+00:00,deepseek/deepseek-v3.2,dictator,100,10,1,I share 1 dollar.,,no_match,20.785899877548218,
20260115T130317Z,2026-01-15T13:10:31.568243+00:00,deepseek/deepseek-v3.2,dictator,100,10,2,I share 0 dollars.,0.0,,2.1671199798583984,0.0
20260115T130317Z,2026-01-15T13:10:33.937909+00:00,deepseek/deepseek-v3.2,dictator,100,10,3,I share 2 dollars.,2.0,,6.333212614059448,0.2
20260115T130317Z,2026-01-15T13:14:25.824700+00:00,deepseek/deepseek-v3.2,dictator,100,3000,1,I share $600 dollars.,600.0,,8.741790056228638,0.2
20260115T130317Z,2026-01-15T13:14:34.771158+00:00,deepseek/deepseek-v3.2,dictator,100,3000,2,I share 300 dollars.,300.0,,2.075411319732666,0.1
20260115T130317Z,2026-01-15T13:14:37.050787+00:00,deepseek/deepseek-v3.2,dictator,100,3000,3,I share 150 dollars.,150.0,,2.2247445583343506,0.05
20260115T130317Z,2026-01-15T13:14:45.625911+00:00,deepseek/deepseek-v3.2,dictator,100,250000,1,I share 0 dollars.,0.0,,2.6010725498199463,0.0
20260115T130317Z,2026-01-15T13:14:48.431632+00:00,deepseek/deepseek-v3.2,dictator,100,250000,2,I share 125000 dollars,125000.0,,2.7210042476654053,0.5
20260115T130317Z,2026-01-15T13:14:51.357419+00:00,deepseek/deepseek-v3.2,dictator,100,250000,3,I share 10000 dollars.,10000.0,,3.162670850753784,0.04
