run_tag,created_utc,model,game,social_distance,money,rep,raw_response,share,parse_error,latency_s,share_pct
20260115T130317Z,2026-01-15T13:03:41.550587+00:00,deepseek/deepseek-v3.2,ultimatum,2,10,1,I share 5 dollars.,5.0,,1.7697429656982422,0.5
20260115T130317Z,2026-01-15T13:03:43.525966+00:00,deepseek/deepseek-v3.2,ultimatum,2,10,2,I share 5 dollars.,5.0,,2.121946334838867,0.5
20260115T130317Z,2026-01-15T13:03:45.855874+00:00,deepseek/deepseek-v3.2,ultimatum,2,10,3,I share 4 dollars.,4.0,,0.8782186508178711,0.4
20260115T130317Z,2026-01-15T13:04:09.163061+00:00,deepseek/deepseek-v3.2,ultimatum,2,3000,1,I share 1500 dollars.,1500.0,,1.5582284927368164,0.5
20260115T130317Z,2026-01-15T13:04:10.923311+00:00,deepseek/deepseek-v3.2,ultimatum,2,3000,2,I share 1500 dollars.,1500.0,,2.171612501144409,0.5
20260115T130317Z,2026-01-15T13:04:13.301590+00:00,deepseek/deepseek-v3.2,ultimatum,2,3000,3,I share 1500 dollars.,1500.0,,3.691434860229492,0.5
20260115T130317Z,2026-01-15T13:04:26.107702+00:00,deepseek/deepseek-v3.2,ultimatum,2,250000,1,I share 125000 dollars.,125000.0,,79.44994688034058,0.5
20260115T130317Z,2026-01-15T13:07:08.883314+00:00,deepseek/deepseek-v3.2,ultimatum,2,250000,2,I share 125000 dollars.,125000.0,,11.604125022888184,0.5
20260115T130317Z,2026-01-15T13:07:20.690588+00:00,deepseek/deepseek-v3.2,ultimatum,2,250000,3,I share 125000 dollars.,125000.0,,3.1453542709350586,0.5
20260115T130317Z,2026-01-15T13:07:30.092701+00:00,deepseek/deepseek-v3.2,ultimatum,20,10,1,I share 5 dollars.,5.0,,8.944029331207275,0.5
20260115T130317Z,2026-01-15T13:07:39.238651+00:00,deepseek/deepseek-v3.2,ultimatum,20,10,2,I share 4 dollars.,4.0,,48.11681795120239,0.4
20260115T130317Z,2026-01-15T13:08:27.562102+00:00,deepseek/deepseek-v3.2,ultimatum,20,10,3,I share 4 dollars.,4.0,,3.38018012046814,0.4
20260115T130317Z,2026-01-15T13:08:40.052775+00:00,deepseek/deepseek-v3.2,ultimatum,20,3000,1,I share 1500 dollars,1500.0,,2.301814556121826,0.5
20260115T130317Z,2026-01-15T13:08:42.558189+00:00,deepseek/deepseek-v3.2,ultimatum,20,3000,2,I share 1500 dollars,1500.0,,2.935222625732422,0.5
20260115T130317Z,2026-01-15T13:08:45.700271+00:00,deepseek/deepseek-v3.2,ultimatum,20,3000,3,I share 1200 dollars.,1200.0,,4.797273874282837,0.4
20260115T130317Z,2026-01-15T13:10:05.424657+00:00,deepseek/deepseek-v3.2,ultimatum,20,250000,1,I share 125000 dollars,125000.0,,0.9522883892059326,0.5
20260115T130317Z,2026-01-15T13:10:06.578692+00:00,deepseek/deepseek-v3.2,ultimatum,20,250000,2,I share 125000 dollars.,125000.0,,2.183898448944092,0.5
20260115T130317Z,2026-01-15T13:10:08.967609+00:00,deepseek/deepseek-v3.2,ultimatum,20,250000,3,I share 125000 dollars.,125000.0,,1.4043529033660889,0.5
20260115T130317Z,2026-01-15T13:10:40.474702+00:00,deepseek/deepseek-v3.2,ultimatum,100,10,1,I share 5 dollars,5.0,,2.8992223739624023,0.5
20260115T130317Z,2026-01-15T13:10:43.577164+00:00,deepseek/deepseek-v3.2,ultimatum,100,10,2,I share 5 dollars.,5.0,,2.019350290298462,0.5
20260115T130317Z,2026-01-15T13:10:45.803288+00:00,deepseek/deepseek-v3.2,ultimatum,100,10,3,I share 3 dollars.,3.0,,219.8167061805725,0.3
20260115T130317Z,2026-01-15T13:14:39.480349+00:00,deepseek/deepseek-v3.2,ultimatum,100,3000,1,I share 1500 dollars.,1500.0,,3.010498523712158,0.5
20260115T130317Z,2026-01-15T13:14:42.695576+00:00,deepseek/deepseek-v3.2,ultimatum,100,3000,2,I share 1000 dollars.,1000.0,,1.2401251792907717,0.3333333333333333
20260115T130317Z,2026-01-15T13:14:44.140538+00:00,deepseek/deepseek-v3.2,ultimatum,100,3000,3,I share 1500 dollars.,1500.0,,1.280900001525879,0.5
20260115T130317Z,2026-01-15T13:14:54.724403+00:00,deepseek/deepseek-v3.2,ultimatum,100,250000,1,I share 125000 dollars,125000.0,,4.25658130645752,0.5
20260115T130317Z,2026-01-15T13:14:59.185822+00:00,deepseek/deepseek-v3.2,ultimatum,100,250000,2,I share 125000 dollars.,125000.0,,1.5860278606414795,0.5
20260115T130317Z,2026-01-15T13:15:00.973455+00:00,deepseek/deepseek-v3.2,ultimatum,100,250000,3,I share 100000 dollars.,100000.0,,2.263634443283081,0.4
